HMY,ITYPE,HPOINTER,DTDATE,DSQFT0,DSQFT1,DSQFT2,DSQFT3,DSQFT4,DSQFT5,DSQFT6,DSQFT7,DSQFT8,DSQFT9,DSQFT10,DSQFT11,DSQFT12,DSQFT13,DSQFT14,DSQFT15,sNotes,TDtDate,hUserCreatedBy,dtCreated,hUserModifiedBy,dtLastModified,hForeignDb,sExtReference,hCopyFrom,tRowVersion
1146,3,807,00:00.0,50562,50562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.0,2,45:10.0,NULL,NULL,NULL,0x0000000001E2A3BB
1147,3,807,00:00.0,50596,50596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.0,2,45:10.0,NULL,NULL,NULL,0x0000000001E2A3BD
1148,480,65,00:00.0,38482,38482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.1,2,45:10.1,NULL,NULL,NULL,0x0000000001E2A3BF
1149,480,65,00:00.0,38501,38501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.1,2,45:10.1,NULL,NULL,NULL,0x0000000001E2A3C1
1150,3,808,00:00.0,38482,38482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.2,2,45:10.2,NULL,NULL,NULL,0x0000000001E2A3C3
1151,3,808,00:00.0,38501,38501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.2,2,45:10.2,NULL,NULL,NULL,0x0000000001E2A3C5
1152,480,67,00:00.0,18083,18083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.3,2,45:10.3,NULL,NULL,NULL,0x0000000001E2A3C7
1153,3,809,00:00.0,18083,18083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.3,2,45:10.3,NULL,NULL,NULL,0x0000000001E2A3C9
1154,480,69,00:00.0,19833,19833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.4,2,45:10.4,NULL,NULL,NULL,0x0000000001E2A3CB
1155,3,810,00:00.0,19833,19833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.4,2,45:10.4,NULL,NULL,NULL,0x0000000001E2A3CD
1156,480,54,00:00.0,57401,57401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.5,2,45:10.5,NULL,NULL,NULL,0x0000000001E2A3CF
1157,480,54,00:00.0,57401,57401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.5,2,45:10.5,NULL,NULL,NULL,0x0000000001E2A3D1
1158,480,54,00:00.0,57403,57403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.5,2,45:10.5,NULL,NULL,NULL,0x0000000001E2A3D3
1159,3,811,00:00.0,57401,57401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.6,2,45:10.6,NULL,NULL,NULL,0x0000000001E2A3D5
1160,3,811,00:00.0,57401,57401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.7,2,45:10.7,NULL,NULL,NULL,0x0000000001E2A3D7
1161,3,811,00:00.0,57403,57403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.8,2,45:10.8,NULL,NULL,NULL,0x0000000001E2A3D9
1162,480,35,00:00.0,20194,20194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.8,2,45:10.8,NULL,NULL,NULL,0x0000000001E2A3DB
1163,3,812,00:00.0,20194,20194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.9,2,45:10.9,NULL,NULL,NULL,0x0000000001E2A3DD
1164,480,55,00:00.0,47645,47645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.9,2,45:10.9,NULL,NULL,NULL,0x0000000001E2A3DF
1165,480,55,00:00.0,46788,46788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:10.9,2,45:10.9,NULL,NULL,NULL,0x0000000001E2A3E1
1166,480,55,00:00.0,46533,46533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.0,2,45:11.0,NULL,NULL,NULL,0x0000000001E2A3E3
1167,480,55,00:00.0,45694,45694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.0,2,45:11.0,NULL,NULL,NULL,0x0000000001E2A3E5
